b,a,d,p_r,prixreel
368750000,93311000000,0,39.7,41.44
368750000,93311000000,0.6,41.44,47.59
368750000,93311000000,0,47.59,55.81
368750000,93311000000,0,55.81,52.41
587500000,96102000000,0,52.41,48.72
587500000,96102000000,0.75,48.72,49.76
587500000,96102000000,0,49.76,41.35
587500000,96102000000,0,41.35,60.36
674500000,106681000000,0,60.36,59.61
674500000,106681000000,1.2,59.61,53.99
674500000,106681000000,0,53.99,62.58
674500000,106681000000,0,62.58,57.15
250000000,111133000000,0,57.15,51.86
250000000,111133000000,1.3,51.86,53.84
250000000,111133000000,0,53.84,62.68
250000000,111133000000,0,62.68,71.4
719250000,113937000000,0,71.4,72.72
719250000,113937000000,1.35,72.72,80.33
719250000,113937000000,0,80.33,83
719250000,113937000000,0,83,86
