b,a,d,p_r,prixreel
986750000,55674000000, 0, 133.9, 125.95
986750000,55674000000, 1.8, 125.95, 146
986750000,55674000000, 0, 146, 132.6
986750000,55674000000, 1.2, 132.6,134.1
1526250000,53362000000,0,134.1,140.5
1526250000,53362000000,1.9,140.5,128.95
1526250000,53362000000,0,128.95,132.25
1526250000,53362000000,2.5,132.25,162.85
1000250000,57601000000,0,162.85,159.65
1000250000,57601000000,1.95,159.65,154.35
1000250000,57601000000,0,154.35,147.15
1000250000,57601000000,1.35,147.15,148.1
1090750000,59622000000,0,148.1,136.4
1090750000,59622000000,2.2,136.4,151.45
1090750000,59622000000,0,151.45,181.35
1090750000,59622000000,1.4,184.35,205.95
1404000000,68550000000,0,205.95,219.5
1404000000,68550000000,2.6,219.5,233.55
1404000000,68550000000,0,233.55,245.4
1404000000,68550000000,1.6,245.4,250.4
