b,a,d,p_r,prixreel
-554500000,59664000000,0,4.67,5.22
-554500000,59664000000,0,5.22,10.01
-554500000,59664000000,0,10.01,7.81
-554500000,59664000000,0,7.81,11.41
-138750000,42636000000,0,11.41,11.75
-138750000,42636000000,0,11.75,10.13
-138750000,42636000000,0,10.13,10.22
-138750000,42636000000,0,10.22,15.52
300500000,49110000000,0,15.52,18.81
300500000,49110000000,0,18.81,13.75
300500000,49110000000,0,13.75,16.28
300500000,49110000000,0,16.28,14.88
537250000,45153000000,0,14.88,10.86
537250000,45153000000,0,10.86,13.57
537250000,45153000000,0,13.57,15.44
537250000,45153000000,0,15.44,18.99
589500000,57505000000,0,18.99,17.62
589500000,57505000000,0.48,17.62,20.16
589500000,57505000000,0,20.16,16.95
