b,a,d,p_r,prixreel
173750000,74992000000,0,48.88,52.85
173750000,74992000000,1.72,52.85,59.19
173750000,74992000000,0,59.19,58.45
173750000,74992000000,0,58.45,71.25
499500000,81551000000,0,71.25,66.38
499500000,81551000000,1.72,66.38,56.94
499500000,81551000000,0,56.94,60.53
499500000,81551000000,0,60.53,84.27
740000000,90605000000,1.9,84.27,95.6
740000000,90605000000,0,95.6,65.55
740000000,90605000000,0,65.55,94.33
740000000,90605000000,0,94.33,86
885750000,102103,0,86,68.94
885750000,102103,2.4,68.94,73
885750000,102103,0,73,84.18
885750000,102103,0,84.18,81.59
1302500000,109943000000,0,81.59,79.6
1302500000,109943000000,3.15,79.6,82.84
1302500000,109943000000,0,82.84,83.91
