b,a,d,p_r,prixreel
2165250000,173491008000,0.59,37.35,37.68
2165250000,173491008000,0.59,37.68,42.99
2165250000,173491008000,0.59,42.99,44.53
2165250000,173491008000,0.59,44.53,47.54
886998500,191840448000,0.59,47.54,52.78
886998500,191840448000,0.61,52.78,51
886998500,191840448000,0.61,51,42.52
886998500,191840448000,0.61,42.52,46.16
998864500,187404208000,0.61,46.16,44.23
998864500,187404208000,0.61,44.23,40.75
998864500,187404208000,0.61,40.75,41.56
998864500,187404208000,0.61,41.56,39.59
1295226500,192825536000,0.61,39.59,43.39
1295226500,192825536000,0.61,43.39,42.25
1295226500,192825536000,0.61,42.25,48.5
1295226500,192825536000,0.61,48.5,47.45
1732047000,1732047000,0.61,47.45,43.63
1732047000,1732047000,0.62,43.63,45.53
1732047000,1732047000,0.62,45.53,46.04
1732047000,1732047000,0.62,46.04,47.04
